og432,adgnitio > Certified Intenders > Retail > Automotive Parts & Accessories,712261,603055," (109,206)"
og433,adgnitio > Certified Intenders > Retail > Baby & Parenting,3293,3166, (127)
og435,adgnitio > Certified Intenders > Travel > Car Rentals,460530,412195," (48,335)"
og436,adgnitio > Certified Intenders > Retail > Apparel,10666518,8420538," (2,245,980)"
og437,adgnitio > Certified Intenders > Retail > Luxury Goods,357196,315594," (41,602)"
og438,adgnitio > Interest > Communication,2361820,9859016," 7,497,196 "
og439,adgnitio > Interest > Computers,6809882,10534469," 3,724,587 "
og440,adgnitio > Interest > Electronics,6498637,6523687," 25,050 "
og441,adgnitio > Interest > Dating,433221,342560," (90,661)"
og442,adgnitio > Interest > Education,1091205,9778341," 8,687,136 "
og443,adgnitio > Interest > Entertainment,1182626,9619051," 8,436,425 "
og444,adgnitio > Interest > Financial Products & Services,10573116,11179827," 606,711 "
og445,adgnitio > Interest > Food & Dining,3911382,3470573," (440,809)"
og446,adgnitio > Interest > Gaming,10232864,8392428," (1,840,436)"
og447,adgnitio > Interest > Health,293910,3159103," 2,865,193 "
og448,adgnitio > Interest > Genealogy,28513,419615," 391,102 "
og449,,329922,364058," 34,136 "
og450,adgnitio > Interest > Mobile,10509979,11332160," 822,181 "
og451,adgnitio > Interest > Photography,46816,9830038," 9,783,222 "
og452,adgnitio > Certified Intenders > Retail > Shoes,1811177,1256981," (554,196)"
og453,adgnitio > Certified Intenders > Retail > Big Box Retailers,4610882,4221829," (389,053)"
og454,adgnitio > Interest > Home Improvement,1823940,2025730," 201,790 "
og455,adgnitio > Certified Intenders > Retail > Sporting Goods,1024143,691286," (332,857)"
og456,adgnitio > Interest > Sports,423859,7046776," 6,622,917 "
og457,adgnitio > Certified Intenders > Retail > Toys,777751,660598," (117,153)"
og458,adgnitio > Interest > Travel,1366976,6648521," 5,281,545 "
og459,adgnitio > Interest > Wedding,5842205,10085497," 4,243,292 "
og460,adgnitio > Lifestyle Profiles > Active Traders,9270,11182741," 11,173,471 "
og461,adgnitio > Interest > Alpine Sports,152558,3988135," 3,835,577 "
og462,adgnitio > Interest > Animals,5926,12837," 6,911 "
og463,adgnitio > Lifestyle Profiles > Auction/Classified Shoppers,1627168,9472763," 7,845,595 "
og464,adgnitio > Interest > Auto,10769,4390482," 4,379,713 "
og465,adgnitio > Interest > Baseball,122000,820824," 698,824 "
og466,adgnitio > Interest > Basketball,155137,864030," 708,893 "
og467,adgnitio > Lifestyle Profiles > Business Professionals,101358,11072195," 10,970,837 "
og468,adgnitio > Lifestyle Profiles > College Students,316,638751," 638,435 "
og469,adgnitio > Interest > Cooking,164536,538101," 373,565 "
og470,adgnitio > Lifestyle Profiles > Couples,957,6054941," 6,053,984 "
og471,adgnitio > Interest > Cruise ,49649,951110," 901,461 "
og472,adgnitio > Lifestyle Profiles > C-Suite Execs,5573,11273," 5,700 "
og473,adgnitio > Interest > Electronics,1820037,1895605," 75,568 "
og475,adgnitio > Certified Intenders > Retail > Events & Tickets,115065,116778," 1,713 "
og476,adgnitio > Lifestyle Profiles > Fashionistas,157211,2745107," 2,587,896 "
og477,adgnitio > Lifestyle Profiles > Fitness Trackers,79933,4164012," 4,084,079 "
og478,adgnitio > Lifestyle Profiles > Frequent Fliers,95903,5352455," 5,256,552 "
og479,adgnitio > Lifestyle Profiles > Foodies,339874,979199," 639,325 "
og480,adgnitio > Interest > NFL Football,87029,2997787," 2,910,758 "
og481,adgnitio > Lifestyle Profiles > Gamers,1995056,8371505," 6,376,449 "
og482,adgnitio > Lifestyle Profiles > Health Fanatics,156737,1271859," 1,115,122 "
og483,adgnitio > Lifestyle Profiles > Home Buyers,189449,4369380," 4,179,931 "
og484,adgnitio > Lifestyle Profiles > Hispanic Users,142714,9020489," 8,877,775 "
og485,adgnitio > Lifestyle Profiles > Home Renters,55462,4525632," 4,470,170 "
og486,adgnitio > Lifestyle Profiles > Hotel Reviewers,1070354,2863041," 1,792,687 "
og487,adgnitio > Lifestyle Profiles > Investing for Retirement,207945,5520726," 5,312,781 "
og488,adgnitio > Lifestyle Profiles > Job Seekers,982456,1173145," 190,689 "
og489,adgnitio > Lifestyle Profiles > Luxury & Designer ,68576,4410127," 4,341,551 "
og490,adgnitio > Lifestyle Profiles > Mobile Gamers,1991932,10921139," 8,929,207 "
og491,adgnitio > Lifestyle Profiles > Moms,29187,186885," 157,698 "
og492,adgnitio > Interest > Music,1585055,8811781," 7,226,726 "
og493,adgnitio > Lifestyle Profiles > New Parents,2893,4722051," 4,719,158 "
og494,adgnitio > Lifestyle Profiles > News Junkies,317331,6411088," 6,093,757 "
og495,adgnitio > Lifestyle Profiles > Online Daters,159285,11058278," 10,898,993 "
og496,adgnitio > Lifestyle Profiles > Online Shoppers,1907968,3423750," 1,515,782 "
og497,adgnitio > Lifestyle Profiles > Pet Owners,10641,5746567," 5,735,926 "
og498,adgnitio > Certified Intenders > Retail > Pharma,80149,78568," (1,581)"
og500,adgnitio > Lifestyle Profiles > Retirees,50644,960068," 909,424 "
og501,adgnitio > Interest > Soccer,302510,7235095," 6,932,585 "
og502,adgnitio > Lifestyle Profiles > Socialites,9518118,12678332," 3,160,214 "
og503,adgnitio > Lifestyle Profiles > Soon to be Brides,13547,12025," (1,522)"
og504,adgnitio > Lifestyle Profiles > Sports Enthousiasts,717379,680299," (37,080)"
og505,adgnitio > Lifestyle Profiles > Techies,66937,1735548," 1,668,611 "
og506,adgnitio > Lifestyle Profiles > Vacation Planners,1683799,2961122," 1,277,323 "
Total ,!!!NOT DEDUPLICATED!!!,112591017,324594318," 212,003,301 "
